k,trainingSize,testingSize,correct_over_total
3,0.1,0.9,0.8676
4,0.1,0.9,0.9191
5,0.1,0.9,0.9118
6,0.1,0.9,0.6324
7,0.1,0.9,0.6471
8,0.1,0.9,0.6544
9,0.1,0.9,0.6544
10,0.1,0.9,0.3382
11,0.1,0.9,0.3824
12,0.1,0.9,0.3603
3,0.1,0.9,0.8971
4,0.1,0.9,0.7574
5,0.1,0.9,0.8529
6,0.1,0.9,0.5882
7,0.1,0.9,0.6176
8,0.1,0.9,0.3088
9,0.1,0.9,0.6324
10,0.1,0.9,0.3235
11,0.1,0.9,0.3456
12,0.1,0.9,0.3162
3,0.1,0.9,0.9485
4,0.1,0.9,0.9265
5,0.1,0.9,0.8824
6,0.1,0.9,0.9191
7,0.1,0.9,0.8529
8,0.1,0.9,0.4118
9,0.1,0.9,0.8015
10,0.1,0.9,0.3456
11,0.1,0.9,0.3235
12,0.1,0.9,0.5588
3,0.1,0.9,0.9559
4,0.1,0.9,0.8676
5,0.1,0.9,0.9338
6,0.1,0.9,0.8971
7,0.1,0.9,0.2868
8,0.1,0.9,0.6397
9,0.1,0.9,0.8897
10,0.1,0.9,0.3162
11,0.1,0.9,0.4926
12,0.1,0.9,0.3162
3,0.1,0.9,0.8897
4,0.1,0.9,0.8971
5,0.1,0.9,0.8676
6,0.1,0.9,0.8897
7,0.1,0.9,0.8162
8,0.1,0.9,0.6471
9,0.1,0.9,0.6912
10,0.1,0.9,0.7279
11,0.1,0.9,0.7059
12,0.1,0.9,0.3309
3,0.1,0.9,0.9632
4,0.1,0.9,0.9265
5,0.1,0.9,0.9044
6,0.1,0.9,0.8529
7,0.1,0.9,0.9485
8,0.1,0.9,0.6471
9,0.1,0.9,0.6471
10,0.1,0.9,0.3456
11,0.1,0.9,0.3309
12,0.1,0.9,0.6838
3,0.1,0.9,0.9118
4,0.1,0.9,0.6250
5,0.1,0.9,0.8529
6,0.1,0.9,0.8088
7,0.1,0.9,0.6324
8,0.1,0.9,0.6544
9,0.1,0.9,0.6471
10,0.1,0.9,0.3309
11,0.1,0.9,0.3382
12,0.1,0.9,0.3750
3,0.1,0.9,0.9338
4,0.1,0.9,0.8897
5,0.1,0.9,0.5588
6,0.1,0.9,0.7868
7,0.1,0.9,0.7647
8,0.1,0.9,0.5368
9,0.1,0.9,0.6324
10,0.1,0.9,0.6471
11,0.1,0.9,0.3382
12,0.1,0.9,0.3235
3,0.1,0.9,0.9559
4,0.1,0.9,0.5515
5,0.1,0.9,0.9338
6,0.1,0.9,0.9118
7,0.1,0.9,0.6471
8,0.1,0.9,0.5074
9,0.1,0.9,0.6324
10,0.1,0.9,0.7206
11,0.1,0.9,0.3015
12,0.1,0.9,0.2941
3,0.1,0.9,0.9338
4,0.1,0.9,0.8456
5,0.1,0.9,0.6397
6,0.1,0.9,0.6471
7,0.1,0.9,0.8971
8,0.1,0.9,0.8750
9,0.1,0.9,0.6838
10,0.1,0.9,0.4926
11,0.1,0.9,0.6471
12,0.1,0.9,0.3162
3,0.2,0.8,0.9421
4,0.2,0.8,0.9174
5,0.2,0.8,0.9587
6,0.2,0.8,0.9256
7,0.2,0.8,0.8595
8,0.2,0.8,0.9091
9,0.2,0.8,0.9421
10,0.2,0.8,0.9339
11,0.2,0.8,0.9339
12,0.2,0.8,0.9008
3,0.2,0.8,0.9504
4,0.2,0.8,0.9256
5,0.2,0.8,0.9339
6,0.2,0.8,0.8678
7,0.2,0.8,0.9008
8,0.2,0.8,0.8843
9,0.2,0.8,0.9174
10,0.2,0.8,0.8926
11,0.2,0.8,0.9339
12,0.2,0.8,0.7769
3,0.2,0.8,0.9504
4,0.2,0.8,0.9256
5,0.2,0.8,0.9339
6,0.2,0.8,0.9421
7,0.2,0.8,0.9256
8,0.2,0.8,0.8843
9,0.2,0.8,0.9504
10,0.2,0.8,0.9339
11,0.2,0.8,0.9339
12,0.2,0.8,0.8347
3,0.2,0.8,0.8760
4,0.2,0.8,0.9669
5,0.2,0.8,0.9256
6,0.2,0.8,0.8926
7,0.2,0.8,0.9421
8,0.2,0.8,0.9091
9,0.2,0.8,0.9008
10,0.2,0.8,0.9091
11,0.2,0.8,0.5207
12,0.2,0.8,0.9339
3,0.2,0.8,0.9587
4,0.2,0.8,0.9504
5,0.2,0.8,0.9256
6,0.2,0.8,0.9256
7,0.2,0.8,0.9174
8,0.2,0.8,0.9008
9,0.2,0.8,0.9339
10,0.2,0.8,0.9091
11,0.2,0.8,0.6364
12,0.2,0.8,0.8760
3,0.2,0.8,0.9669
4,0.2,0.8,0.9587
5,0.2,0.8,0.9421
6,0.2,0.8,0.9256
7,0.2,0.8,0.9504
8,0.2,0.8,0.8926
9,0.2,0.8,0.9669
10,0.2,0.8,0.8926
11,0.2,0.8,0.9091
12,0.2,0.8,0.9174
3,0.2,0.8,0.9339
4,0.2,0.8,0.9421
5,0.2,0.8,0.9587
6,0.2,0.8,0.8347
7,0.2,0.8,0.9174
8,0.2,0.8,0.9256
9,0.2,0.8,0.9174
10,0.2,0.8,0.9339
11,0.2,0.8,0.9174
12,0.2,0.8,0.9008
3,0.2,0.8,0.9256
4,0.2,0.8,0.9091
5,0.2,0.8,0.9256
6,0.2,0.8,0.9504
7,0.2,0.8,0.9752
8,0.2,0.8,0.9008
9,0.2,0.8,0.8926
10,0.2,0.8,0.8760
11,0.2,0.8,0.8926
12,0.2,0.8,0.8926
3,0.2,0.8,0.9339
4,0.2,0.8,0.9421
5,0.2,0.8,0.9504
6,0.2,0.8,0.9256
7,0.2,0.8,0.8760
8,0.2,0.8,0.9256
9,0.2,0.8,0.9174
10,0.2,0.8,0.8512
11,0.2,0.8,0.9174
12,0.2,0.8,0.9174
3,0.2,0.8,0.9174
4,0.2,0.8,0.9008
5,0.2,0.8,0.8099
6,0.2,0.8,0.9421
7,0.2,0.8,0.8843
8,0.2,0.8,0.9504
9,0.2,0.8,0.9174
10,0.2,0.8,0.9091
11,0.2,0.8,0.8926
12,0.2,0.8,0.8760
3,0.3,0.7,0.9623
4,0.3,0.7,0.9623
5,0.3,0.7,0.9434
6,0.3,0.7,0.9340
7,0.3,0.7,0.9340
