Test_courriel_ID,Probability,NB_Prediction,Type_courriel_test,Lissage
0495.a13bce4369913c929a48b073f2b320c9,0.0,spam,spam,0.0
0490.5fc0d6e9adcaf702bb7dd303ff2d59e2,0.0,spam,spam,0.0
2526.7ff8826a8e943eabf68cdcbb4c29c8bc,0.0,spam,ham,0.0
2551.3b1f94418de5bd544c977b44bcc7e740,0.0,spam,ham,0.0
0472.40695f88feb07754e40b1008aeb47bd1,0.0,spam,spam,0.0
2516.030f0cecab78d582f6f5be58422acf79,0.0,spam,ham,0.0
0467.b59a3337d0979ba8d587bf4c166db8b1,0.0,spam,spam,0.0
0498.863566df8e5f17f979edca79d1e87187,0.0,spam,spam,0.0
0462.2cfe24a32d1b480eab70b099b4a8a919,0.0,spam,spam,0.0
2540.9527f844d218311f91ec4d87fd2035ca,0.0,spam,ham,0.0
0469.c1d9ab5918d50dac4242ef53c4aaf678,0.0,spam,spam,0.0
0491.f47154f78397c57b14e05450a16745d5,0.0,spam,spam,0.0
0485.9021367278833179285091e5201f5854,0.0,spam,spam,0.0
2543.1fa39c8b86bc5ae84b837e8c7ae3717d,0.0,spam,ham,0.0
0493.c82e983c32e4888b4fbb0084cb303608,0.0,spam,spam,0.0
2537.2769f2836293c4c9105e6a89fc14fd8e,0.0,spam,ham,0.0
2548.b2259f104edd1ecbc9dc0327df387147,0.0,spam,ham,0.0
2541.892b976061b9ea684b9b3009d0b87dab,0.0,spam,ham,0.0
0481.77b1644dfd682bf753d5894ad04f8020,0.0,spam,spam,0.0
2514.f2c8376ccb20e0255fd97cab426f0c3a,0.0,spam,ham,0.0
0463.47a4c19eea5230ff19a42e62a5f59484,0.0,spam,spam,0.0
0489.013cd8eb1a0a545e5c6ed066bad0cad7,0.0,spam,spam,0.0
2522.dc159c06c191406ece1b0fc98a352bbe,0.0,spam,ham,0.0
2528.8b6dd74e9b8d04f5f1338bcec51b0b11,0.0,spam,ham,0.0
2517.2dbd54c3580b5fb8e12dea4d876348f3,0.0,spam,ham,0.0
2550.963956a866a2e00b3d5b353ecc9216ae,0.0,spam,ham,0.0
2546.dd6480d3f87f7d525f797d17ac1a0bc8,0.0,spam,ham,0.0
0461.27302a2e94d8948f8a81a7d4c8566cf0,0.0,spam,spam,0.0
2533.ba0ac203656046766a368dbc29cf36a6,0.0,spam,ham,0.0
0483.488a059db4a731caae8143bf298d6ac4,0.0,spam,spam,0.0
2532.8b61e23f6e94d8b2303554395d0374e5,0.0,spam,ham,0.0
0464.c1345cc18f1944b61a219dcdfe54088a,0.0,spam,spam,0.0
0486.348918a564335556b4fdd8b82f939918,0.0,spam,spam,0.0
2535.4d4a1eed6617e6df7c1a5d4ac7d368a2,0.0,spam,ham,0.0
0488.6d41f6d7222978a3ee2b6cfbfce55a02,0.0,spam,spam,0.0
0492.f2d030fd71d7c3075626195b5c0b56f7,0.0,spam,spam,0.0
0487.b57549dc531f50c1ff1e3356bc38b390,0.0,spam,spam,0.0
0496.e995facc5d5bc6d3f3a8537d35e0432a,0.0,spam,spam,0.0
2520.554ec4788bbcc1ed13c453719c8d698e,0.0,spam,ham,0.0
2539.466ecd08a54bf64e857522423a33108a,0.0,spam,ham,0.0
0480.fc9323682825f7d93ed78a82970ceaea,0.0,spam,spam,0.0
0474.81ea7ec9e00168efe6bb824d08825ef3,0.0,spam,spam,0.0
2525.9559a3f0d4d17d33379acdf5bf356435,0.0,spam,ham,0.0
2521.8e5616c36de4145286f63b8ddd50f429,0.0,spam,ham,0.0
0468.8edb99340b9a96a81813be2d3362605d,0.0,spam,spam,0.0
0477.c825fdd16a32d2d29f4f3613e412dfb3,0.0,spam,spam,0.0
2523.7b5518a502b8a309e42770179d71626c,0.0,spam,ham,0.0
0479.558d7491db4238443bc549ec06021bae,0.0,spam,spam,0.0
0471.f3cd3e181577b34e474bea8c480d1b44,0.0,spam,spam,0.0
0478.16f274ffd3e884a574c9461012cadea6,0.0,spam,spam,0.0
2512.d68f3adc32f665ecaf1d096a83d78aa5,0.0,spam,ham,0.0
0500.2e8762b67913d1b07bc8da293448d27f,0.0,spam,spam,0.0
2547.18ce2b2d4f757e70154b5c8cfe6e684f,0.0,spam,ham,0.0
0470.b9e513715695ea1c79c1e5af0fb0eea9,0.0,spam,spam,0.0
0484.cd802b94da9c80db5e4432bb661effd1,0.0,spam,spam,0.0
2536.601b538e15f39aaac0e038cb860ae762,0.0,spam,ham,0.0
2524.c06019b7e085875e69ff55f43defeb83,0.0,spam,ham,0.0
0476.0530ef1b33305fdf919489946570685b,0.0,spam,spam,0.0
2544.1a95794a767c776e71893fda91f59efb,0.0,spam,ham,0.0
0473.ab22ff7eb6975783dff18f279a1a8357,0.0,spam,spam,0.0
0499.4a17fbd7fe71705e09b4dd2e24d802dd,0.0,spam,spam,0.0
2542.1a940f58e68fa8a84a3f83e30a624e8d,0.0,spam,ham,0.0
2549.d05fe143eb28d1fb19fbdc39781d5e34,0.0,spam,ham,0.0
0482.d2338d94e40e6028a89c0a197ed7c470,0.0,spam,spam,0.0
2534.2804e0302718cda7783689fa2a6d90d9,0.0,spam,ham,0.0
0497.9307bd1fb5347f9fbf1f54ebe95b1d20,0.0,spam,spam,0.0
